condition,run_name,task_id,episode_idx,infer_id,route_type,accepted_prefix_len,chunk_exec_len,policy_time_gpu_sync_ms,policy_time_wall_ms,policy_time_ms,serve_time_ms,client_roundtrip_ms,sample_actions_ms,stage5_perturb_enabled,stage5_perturb_condition,stage5_perturb_applied,stage7_guard_enabled,stage7_guard_mode,stage7_wrist_health_mean,stage7_wrist_health_std,stage7_wrist_health_range,stage7_wrist_healthy,stage7_cache_available,stage7_cache_age_queries,stage7_cache_hit,stage7_cache_miss,stage7_image_replaced,stage7_cache_updated,stage7_guard_query_index,stage7_guard_note,source
guard_wrist_zero_all,stage7_wrist_health_guard,0,0,31,draft,0,0,8.294895000290126,8.294895000290126,11.414558000979014,11.568178997549694,12.720400998659898,8.294895000290126,True,wrist_zero_all,True,True,last_valid_cache,0.0,0.0,0.0,False,False,-1,False,True,False,False,31,unhealthy_no_valid_cache,/workspace/realtime_vla_flash_project/videos/stage7_wrist_health_guard/stage7_guard_allzero_task0_seed7_n3/episodes/task00_ep000_open_the_middle_drawer_of_the_cabinet_failure/infer.jsonl
guard_wrist_zero_all,stage7_wrist_health_guard,0,0,32,full,12,12,33.57435599900782,33.57435599900782,35.71083700080635,35.81271900475258,36.645207001129165,33.57435599900782,True,wrist_zero_all,True,True,last_valid_cache,0.0,0.0,0.0,False,False,-1,False,True,False,False,32,unhealthy_no_valid_cache,/workspace/realtime_vla_flash_project/videos/stage7_wrist_health_guard/stage7_guard_allzero_task0_seed7_n3/episodes/task00_ep000_open_the_middle_drawer_of_the_cabinet_failure/infer.jsonl
guard_wrist_zero_all,stage7_wrist_health_guard,0,0,33,draft,1,1,8.296115003759041,8.296115003759041,11.355226000887342,11.512288998346776,12.650119999307208,8.296115003759041,True,wrist_zero_all,True,True,last_valid_cache,0.0,0.0,0.0,False,False,-1,False,True,False,False,33,unhealthy_no_valid_cache,/workspace/realtime_vla_flash_project/videos/stage7_wrist_health_guard/stage7_guard_allzero_task0_seed7_n3/episodes/task00_ep000_open_the_middle_drawer_of_the_cabinet_failure/infer.jsonl
guard_wrist_zero_all,stage7_wrist_health_guard,0,0,34,full,12,12,33.661077002761886,33.661077002761886,36.07739200379001,36.19448201061459,37.06084199802717,33.661077002761886,True,wrist_zero_all,True,True,last_valid_cache,0.0,0.0,0.0,False,False,-1,False,True,False,False,34,unhealthy_no_valid_cache,/workspace/realtime_vla_flash_project/videos/stage7_wrist_health_guard/stage7_guard_allzero_task0_seed7_n3/episodes/task00_ep000_open_the_middle_drawer_of_the_cabinet_failure/infer.jsonl
guard_wrist_zero_all,stage7_wrist_health_guard,0,0,35,draft,3,3,8.316695006215014,8.316695006215014,11.404326993215363,11.557678997633047,12.585399999807123,8.316695006215014,True,wrist_zero_all,True,True,last_valid_cache,0.0,0.0,0.0,False,False,-1,False,True,False,False,35,unhealthy_no_valid_cache,/workspace/realtime_vla_flash_project/videos/stage7_wrist_health_guard/stage7_guard_allzero_task0_seed7_n3/episodes/task00_ep000_open_the_middle_drawer_of_the_cabinet_failure/infer.jsonl
guard_wrist_zero_all,stage7_wrist_health_guard,0,0,36,draft,3,3,8.193105000827927,8.193105000827927,11.045774001104292,11.182645001099445,12.119753999286331,8.193105000827927,True,wrist_zero_all,True,True,last_valid_cache,0.0,0.0,0.0,False,False,-1,False,True,False,False,36,unhealthy_no_valid_cache,/workspace/realtime_vla_flash_project/videos/stage7_wrist_health_guard/stage7_guard_allzero_task0_seed7_n3/episodes/task00_ep000_open_the_middle_drawer_of_the_cabinet_failure/infer.jsonl
guard_wrist_zero_all,stage7_wrist_health_guard,0,0,37,draft,3,3,8.166493993485346,8.166493993485346,10.610910001560114,10.7437009937712,11.752610997064039,8.166493993485346,True,wrist_zero_all,True,True,last_valid_cache,0.0,0.0,0.0,False,False,-1,False,True,False,False,37,unhealthy_no_valid_cache,/workspace/realtime_vla_flash_project/videos/stage7_wrist_health_guard/stage7_guard_allzero_task0_seed7_n3/episodes/task00_ep000_open_the_middle_drawer_of_the_cabinet_failure/infer.jsonl
guard_wrist_zero_all,stage7_wrist_health_guard,0,0,38,draft,3,3,8.199014002457261,8.199014002457261,10.507177998078987,10.647759998391848,11.616299998422619,8.199014002457261,True,wrist_zero_all,True,True,last_valid_cache,0.0,0.0,0.0,False,False,-1,False,True,False,False,38,unhealthy_no_valid_cache,/workspace/realtime_vla_flash_project/videos/stage7_wrist_health_guard/stage7_guard_allzero_task0_seed7_n3/episodes/task00_ep000_open_the_middle_drawer_of_the_cabinet_failure/infer.jsonl
guard_wrist_zero_all,stage7_wrist_health_guard,0,0,39,draft,3,3,8.166794003045652,8.166794003045652,10.662929998943582,10.842881994904019,11.840812003356405,8.166794003045652,True,wrist_zero_all,True,True,last_valid_cache,0.0,0.0,0.0,False,False,-1,False,True,False,False,39,unhealthy_no_valid_cache,/workspace/realtime_vla_flash_project/videos/stage7_wrist_health_guard/stage7_guard_allzero_task0_seed7_n3/episodes/task00_ep000_open_the_middle_drawer_of_the_cabinet_failure/infer.jsonl
guard_wrist_zero_all,stage7_wrist_health_guard,0,0,40,draft,3,3,8.1576739976299,8.1576739976299,10.490587999811396,10.636319006152917,11.850861003040336,8.1576739976299,True,wrist_zero_all,True,True,last_valid_cache,0.0,0.0,0.0,False,False,-1,False,True,False,False,40,unhealthy_no_valid_cache,/workspace/realtime_vla_flash_project/videos/stage7_wrist_health_guard/stage7_guard_allzero_task0_seed7_n3/episodes/task00_ep000_open_the_middle_drawer_of_the_cabinet_failure/infer.jsonl
guard_wrist_zero_all,stage7_wrist_health_guard,0,0,41,draft,3,3,8.202254000934772,8.202254000934772,10.658560000592843,10.790600994369015,11.822352003946435,8.202254000934772,True,wrist_zero_all,True,True,last_valid_cache,0.0,0.0,0.0,False,False,-1,False,True,False,False,41,unhealthy_no_valid_cache,/workspace/realtime_vla_flash_project/videos/stage7_wrist_health_guard/stage7_guard_allzero_task0_seed7_n3/episodes/task00_ep000_open_the_middle_drawer_of_the_cabinet_failure/infer.jsonl
guard_wrist_zero_all,stage7_wrist_health_guard,0,0,42,draft,3,3,8.137864002492279,8.137864002492279,10.58795800054213,10.724669999035541,11.638399002549704,8.137864002492279,True,wrist_zero_all,True,True,last_valid_cache,0.0,0.0,0.0,False,False,-1,False,True,False,False,42,unhealthy_no_valid_cache,/workspace/realtime_vla_flash_project/videos/stage7_wrist_health_guard/stage7_guard_allzero_task0_seed7_n3/episodes/task00_ep000_open_the_middle_drawer_of_the_cabinet_failure/infer.jsonl
